ID,Username,Isi Thread,teks_bersih,label,prediksi_cv
1,_vinetta,"Qadarullah semalam terima kabar ini
Selamat atas promosinya suamiku sayang. Semoga selalu langkahmu dimudahkan Allah swt..
Semangat untuk keluarga kecil kita yaa
Aku selalu sayang sama kamu mas. Selama ini dari awal menikah sampai 3 tahun LDM-nya masih ketemu seminggu sekali. Sekarang belum ada bayangan sih bakal gimana Dan aku lagi tubel di STAN. Jadi semoga aku bisa menyelesaikan studiku dengan baik juga, sambil jaga bayi mungil inii Mohon doanya",qadarullah malam terima kabar selamat atas promosi suami sayang moga selalu langkah mudah allah swt semangat keluarga kecil selalu sayang sama mas lama awal meni tahun ldm ketemu minggu sekali sekarang belum_bayangan bakal tubel stan moga selesai studi baik jaga bayi mungil ini mohon doa,positif,positif
2,nrachman77,"Saya punya teman orang pajak. Tiap hari ketika kerja selalu was was, kerja ga enak hati dan pikirannya suka ga fokus. Salah satu yang bikin ia tenang jika ibadah tepat waktu, rata2 pegawai pajak itu rajin ibadah. Sholat tepat waktu suka sedekah dll. Dengan harapan bisa menyeimbangkan dengan pekerjaan utamanya. Saya ga banyak komentar, ia tau tentang hadis pemungut pajak namun belum bisa move ke pekerjaan lain. Barangkali disini ada yang pernah kerja sebagai pegawai pajak dan gmn cr bsa pindah",teman pajak tiap hari kerja selalu was was kerja tidak_enak hati pikir suka tidak_fokus salah satu bikin tenang ibadah tepat rata pegawai pajak rajin ibadah sholat tepat suka sedekah harap imbang kerja utama tidak_komentar tau hadis mungut pajak belum_move kerja barangkali sini pernah kerja pegawai pajak pindah,negatif,netral
3,nafkahnation.dx,"Temen gw kerja di KPP Pratama. Bagian pelayanan. Bukan pemeriksa. Bukan konsultan pajak. Tiap minggu dia liat org dateng, bawa map berisi sertifikat rumah warisan orang tua. Dateng buat urus pajak balik nama.Wajah mereka sama semua: kaget, bingung, marah.Dia sebut satu angka yg bikin gw mules:""90% dari mereka harusnya bayar NOL. Bukan puluhan juta. Tapi gak ada yg kasih tau."" Ada satu surat. Namanya S** P**. Dan hampir gak ada warga yg tau.",temen kerja kpp pratama bagi layan bukan_pemeriksa bukan_konsultan pajak tiap minggu liat dateng bawa map isi sertifikat rumah waris tua dateng urus pajak balik nama wajah sama kaget bingung marah sebut satu angka bikin mules bayar nol bukan_puluhan juta tidak_kasih tau satu surat nama hampir tidak_warga tau,negatif,netral
4,ikramlabs,"Tadi habis nyimak rekan instansi gue nyeritain pengalamannya dia kerja di Ditjen Pajak. Salah satu Wajib Pajak (WP) yang dia urus datengin ruang kerjanya di sore hari banget menjelang maghrib sambil bawa kardus yang besarnya mencolok dan berat banget bersama dengan konsultan pajaknya dia. Kantor udah sepi, temen-temennya udah pada pulang juga. Pas temen gue ini liat tuh kardus isinya uang tunai pecahan seratus ribuan penuh! Si konsultan bilang ""mas ini buat kamu, kasih juga si bos ya"".
Singkat cerita rekan gue itu nolak ya.
Konsultan langsung putus asa dong, duit segitu ditolak ya mau ngapain lagi coba? Tapi nggak lama si konsultan bilang, ""waktu itu saya pernah ngurus ginian juga di Jambi, pegawainya sama sok-nya kayak kamu. Terakhir saya dapet info istri sama anaknya meninggal"".
Temen gue jawab dengan statement yang gue udah sangat paham sebenernya, tapi kalau gue di posisi dia saat itu pasti udah naik darah duluan lah. Gila aja nih orang bawa-bawa keluarga dan ngancem nyawa segala. Jadilah statement ""biasa"" yang udah gue tahu itu berasa jauh lebih menyentuh hati dengernya.
Dia bilang,
""kalau Allah takdirkan saya atau keluarga saya meninggal di hari tertentu, maka siapapun nggak bisa mencegah dan nggak bisa juga mempercepatnya",tadi habis nyimak rekan instansi nyeritain alam kerja ditjen pajak salah satu wajib pajak wajib pajak urus datengin ruang kerja sore hari jelang maghrib bawa kardus besar colok berat sama konsultan pajak kantor sepi temen temennya pulang pas temen liat kardus isi uang tunai pecah ratus ribu penuh konsultan bilang mas kasih bos singkat cerita rekan nolak konsultan langsung putus asa uang segitu tolak mau ngapain coba tidak_lama konsultan bilang pernah ngurus ginian jambi pegawai sama sok kayak akhir dapet info istri sama anak tinggal temen jawab statement paham benar posisi naik darah duluan gila bawa bawa keluarga ngancem nyawa segala jadi statement biasa tahu asa jauh sentuh hati dengernya bilang allah takdir keluarga tinggal hari tentu siapa tidak_mencegah tidak_mempercepatnya,positif,positif
5,sherlyajawes,"Semalam aku cerita ke suamiku soal aturan pajak marketplace yg baru. Dan nemu insight menarik…
🤦🏻‍♀️ Aku 🙋🏻 Suami
🤦🏻‍♀️ : sistemnya DJP ini aneh, bukannya fokus ke penjual yg udah 500jt keatas, tapi yg dibawah 500jt juga wajib isi pernyataan omzet kalo gak mau kepotong pajak
🙋🏻: ohh gituu, jadi semua penjual walaupun omzet dibawah 500jt tetep ngisi?
🙋🏻 : intinya DJP mau mendeteksi pedagang sejak dini. Mau omzetmu msh 5jt kek, 10jt kek, pas km ngumpulin pernyataan dan data penghasilan otomatis mereka tau km punya usaha di marketplace. Kalo suatu saat nanti bisnismu berkembang mencapai 500jt, maka kewajibanmu sebagai wajib pajak auto aktif. Sistem defaultnya adalah potong pajak, makanya pernyataan omzet menjadi satu syarat supaya km gak dipotong pajak dan shopee pny dasar hukum knp km gak dipotong pajak. Bonusnya, DJP dpt datamu jg.",malam cerita suami soal atur pajak marketplace baru nemu insight tarik suami sistem djp aneh bukan fokus jual atas bawah wajib isi nyata omzet tidak_mau potong pajak ohh gituu jual walaupun omzet bawah tetep ngisi inti djp mau deteksi dagang sejak dini mau omzet msh kek kek pas ngumpulin nyata data hasil otomatis tau usaha marketplace suatu bisnis kembang capai wajib wajib pajak auto aktif sistem defaultnya potong pajak makanya nyata omzet jadi satu syarat tidak_dipotong pajak shopee pny dasar hukum tidak_dipotong pajak bonus djp dpt data,netral,netral
6,hafizrizalm,"Temen gue orang pajak. Dia bilang gini: ""Bro, orang Indonesia itu takut warisan bukan krn rebutan. Tapi krn PAJAKNYA."" Gue tanya: ""Emang warisan kena pajak?"" Dia ketawa bisa rausan Juta BRO. Satu kalimat dia yg bikin gue langsung telpon nyokap bahas sertifikat rumah.",temen pajak bilang gin bro indonesia takut waris bukan_rebutan pajak tanya waris kena pajak ketawa rausan juta bro satu kalimat bikin langsung telpon nyokap bahas sertifikat rumah,negatif,negatif
7,jnsjnsjnsjnsjnss,"Lulus STAN Tahun 2018, penempatan Kemenkeu, penempatan homebase dari 2019-sekarang, seru-seru aja. Bangun pagi bisa santai sempat olahraga, masuk-pulang tenggo, bisa sambil kuliah, no complaints sih sampai detik ini. Makasih STAN",lulus stan tahun tempat kemenkeu tempat homebase sekarang seru seru bangun pagi santai sempat olahraga masuk pulang tenggo kuliah complaints detik makasih stan,positif,positif
8,irwandiferry,"Gaji pegawai DJP itu gak setinggi yg kt bayangin, termasuk tinggi memang dibanding banyak instansi yang lain, tapi gak sampai buat diri lu jadi auto sultan dsb. untuk level staff, gaji mereka dibawah PNS pemda DKI, dibawah BI, dibawah OJK, dan masih kalah dengan banyak gaji staf di berbagai BUMN. Resiko yg mereka hadapi gak ringan, keselamatan terancam, beberapa meninggal dalam tugas, dianggap ancaman oleh masyarakat, belum lagi sistem mutasi seluruh indonesia",gaji pegawai djp tidak_setinggi bayangin masuk tinggi banding instansi tidak_diri auto sultan bagai level staff gaji bawah pns pemda dki bawah bawah ojk kalah gaji staf bagai bumn resiko hadap tidak_ringan selamat ancam beberapa tinggal tugas anggap ancam masyarakat belum_sistem mutasi seluruh indonesia,positif,positif
9,sapto_su,"Hari ini di DJP ada pelantikan atas promosi/mutasi pejabat eselon IV. Saya lihat daftarnya, ada beberapa AR yang dipromosikan dengan lokasi penempatan yang relatif jauh, misalnya dari Jakarta ke Atambua atau Jayapura, bahkan dari Medan ke Waingapu. Jadi ingat, dulu pernah ada seorang AR menelepon saya di malam hari, menanyakan apakah ada lowongan di tempat saya. Ternyata beliau termasuk dalam SK promosi yang baru saja keluar, dipromosikan menjadi Kepala Seksi di salah satu KPP di Papua.",hari djp lantik atas promosi mutasi jabat eselon lihat daftar beberapa account representative promosi lokasi tempat relatif jauh misal jakarta atambua jayapura bahkan medan waingapu ingat dulu pernah orang account representative telepon malam hari tanya lowong tempat nyata beliau masuk promosi baru keluar promosi jadi kepala seksi salah satu kpp papua,netral,positif
10,agusmaulana122019,"Saya ex-pajak. Saya kabari ga enaknya jadi pegawai pajak: 1. Mutasi Nasional, saya pernah di papua 6 tahun. Harus siap jauh dari keluarga. Pengelolaan keluarga jadi rumit. Mahal pula. 2. Kerja sebagai pemberi sanksi. Waktu itu jabatan saya pemeriksa. Pengusaha indo banyak yang ga siap sama pengujian. Ga ngerti kalo bisnis itu wajib didokumentasikan. Memberi sanksi sama pengusaha nakal adalah kebanggaan, tapi sama yang ga ngerti, jadinya perasaan bersalah. 3. Nanti saya terusin.",pajak kabar tidak_enaknya pegawai pajak mutasi nasional pernah papua tahun siap jauh keluarga kelola keluarga rumit mahal kerja beri sanksi jabat periksa usaha indo tidak_siap sama uji tidak_ngerti bisnis wajib dokumentasi beri sanksi sama usaha nakal bangga sama tidak_ngerti jadi asa salah terusin,negatif,negatif
11,virdahusna,Hi kenalin aku Virda seorang istri yang ikut bersama suami bekerja berteman dengan mutasi 🌻,kenalin virda orang istri ikut sama suami kerja teman mutasi,netral,netral
12,iqbalhabibi90,"Gak layak org pajak dikasih gaji besar Sektor swasta yg harusnya dikasih insentif sebesar mungkin krn swastalah yg nyata² menggerakkan roda ekonomi negara Kalo pendapatan sektor pajak capai target, itu sebenernya bukan prestasi mereka, tp prestasi para pekerja dan pengusaha Kok bisa²nya pegawai pajak yg digelontor bonus prestasi",tidak_layak pajak kasih gaji besar sektor swasta kasih insentif besar mungkin swasta nyata gerak roda ekonomi negara dapat sektor pajak capai target benar bukan_prestasi prestasi kerja usaha pegawai pajak gelontor bonus prestasi,negatif,negatif
13,terajanajunu,Tugas DJP tu skrg sulit ya Pajak dan kerelaan org bayar pajak makin tergerus akibat oknum2 yg menggunakan uang pajak rakyat serampangan Gimana org mau rela bayar pajak kalau gak ada lagi trust yg tercpta,tugas djp sekarang sulit pajak rela bayar pajak makin gerus akibat oknum guna uang pajak rakyat serampang mau rela bayar pajak tidak_trust tercpta,negatif,negatif
14,pra7z,"Resign dari DJP tuh salah satu perks-nya ya bisa ""dijual"" ""ex-DJP""-nya. Terima kasih DJP. 🏃‍♂️🏃‍♂️🏃‍♂️",resign djp salah satu perks jual djp terima kasih djp,positif,netral
15,jdp_1107,Rame thread DJP resign berjamaah. Untuk para senior yang sudah resign dari DJP apakah ada yang menyesal? Ternyata kerjaan di luar DJP tidak seindah yang dibayangkan. Dan ternyata di DJP tidak seburuk itu?,rame thread djp resign jamaah senior resign djp sesal nyata kerja luar djp tidak_seindah bayang nyata djp tidak_seburuk,netral,positif
16,wyomilliron3,"Isn’t that so the truth. Prefect is boring, it’s the struggle that makes us who we are. -DJP 2025",isn that the truth prefect boring the struggle that makes who are djp,positif,negatif
